PartnerRefCD,NoOfPoints,CompanyMileagePlanNumber,TransactionDate,LastName
AHGCWT0272118881623,750,349320952,2025-04-07,SBCTC
KYWSQP0272120564313,166,491156912,2024-05-17,Aloha Sunshine Tours LLC
YAIATA0272119001451,110,904509196,2025-10-01,382
NWBVOD0272120312554,166,935654860,2025-10-14,Ohana Pacific Health
WOQANL0272120936340,230,568649141,2023-02-07,Nordic PCL Construction-Execs
DWGKSX0272118971345,289,114522321,2025-10-01,SE ALASKA REGIONAL HEALTH
SIDXNV0272120900465,69,903235933,2025-10-20,Roman Catholic Church in the State of Hawaii
YUNWOH0272120884597,239,416455760,2025-10-20,AWP SAFETY
GVNLIQ0272120810949,138,410509816,2021-12-07,Happy Valley Inc.
GVNLIQ0272120810948,138,410509816,2021-12-07,Happy Valley Inc.
CVCNJQ0272120975471,227,425865462,2023-09-22,BEK, Inc.
FWMKJA0272120657922,134,694263441,2025-10-17,The Audio Visual Company
JGGLDG0272120884538,87,475456693,2025-04-30,R & M Painting
LCEYYO0272120780564,222,796959030,2021-08-17,Kawama Trading Company LLC
LCEYYO0272120780565,222,796959030,2021-08-17,Kawama Trading Company LLC
LVZYPD0272120884523,88,811362241,2025-10-20,Modivcare
WUVNJA0272120590700,120,427959556,2025-10-06,GP Roadway Solutions Inc
KCSNJH0272119229807,110,943746694,2025-10-03,Title Guaranty of Hawaii
QQPGWZ0272120887795,88,545564880,2020-02-22,MCCABE HAMILTON & RENNY
OCPTCM0272120645534,161,943926325,2025-10-17,Hana High & Elementary School
DVQXAJ0272120656651,171,546099724,2025-03-05,Okahara and Associates Hilo
KIPHRO0272120610663,129,946024741,2025-10-07,MDX Hawaii
OHURKU0272120206258,129,941628284,2025-10-13,Tori Richard, Ltd.
IYRXVA0272120972681,171,764845690,2022-03-09,Unlimited Construction
QQFTAG0272120893314,147,416455760,2025-10-20,AWP SAFETY
OIWJMH0272120962494,161,826275166,2023-06-16,HIDOE-West Hawaii Complex Area
KVLMNL0272120995911,134,727272475,2025-10-17,Glennco Pacific
WLHIQA0272119142035,110,677309500,2025-02-02,Tile Warehouse, Inc.
YPNBAK0272120873479,147,982547554,2025-10-16,Environmental Science International
DFXVGT0272120938665,732,34384280,2025-10-21,ALASKA NATIVE MEDICAL CENT
EUTJBB0272120985179,134,948820375,2025-10-18,Group Builders Inc 
NKRLVM0272120884598,239,416455760,2023-06-07,AWP SAFETY
ISMYMR0272120319458,114,724150862,2022-09-30,SOH DOE OCID CIB LST
CBTRMR0272120627657,129,935318720,2025-10-14,KS Kaipuwaiola 99
FBNHJW0272120885955,171,663719000,2023-05-10,The Nature Conservancy
EUTJBB0272120986558,134,948820375,2025-10-18,Group Builders Inc 
WXIIJO0272120895497,227,811362241,2025-10-15,Modivcare
KOZIVK0272120648677,134,811362241,2025-02-06,Modivcare
FHERSB0272119840242,189,704019352,2022-06-01,Kraig K. Otani and Associates LLC
KDRQFH0272120646637,203,535215925,2025-10-03,Central Pacific Bank
JVSDTL0272120644387,203,535215925,2022-10-25,Central Pacific Bank
ATRZPA0272119619207,199,875398974,2024-05-01,Hawaii Emergency Physicians Associated
WCXYMV0272120901406,171,724785250,2025-10-17,Hawaii PV Partners LLC
ELDTYD0272118904890,120,484018776,2025-09-30,G70
WVTGVQ0272120643883,134,134734110,2023-05-24,GOODFELLOW BROS., INC.
FYGWAU0272120653382,327,935318720,2025-10-17,KS Kaipuwaiola 99
ELDTYD0272118904891,120,484018776,2025-09-30,G70
EXUPYC0272120789294,131,488940255,2025-10-19,Kaiser Permanete - Travel Kacie
SOHBNH0272120978866,171,832668524,2025-10-13,West Hawaii Concrete
FHERSB0272119840241,189,704019352,2022-06-01,Kraig K. Otani and Associates LLC
MYODGJ0272120846044,171,952457623,2025-04-06,Hawaii Alliance for Progressive Action
KOEGVK0272120646785,122,508317574,2022-03-20,SOH DLIR Workforce Development Division Administration
HRTBJB0272120939309,277,962811183,2025-10-11,Legacy Plumbing Co.,LLC
DSUOHW0272120643958,129,944182175,2022-01-23,Verizon Wireless Administration Office
WMVSCN0272120716854,143,627199635,2022-11-30,Kaiser Permanente - Patient - Travel 5 191078486 1
HVFXVE0272120898212,66,833477875,2025-10-20,Kaiser Permanente - Patient - Travel 6 191082026
NUOYXM0272120450345,129,592262215,2023-07-17,Hawaii Gas 1
HVFXVE0272120898213,66,833477875,2025-10-20,Kaiser Permanente - Patient - Travel 6 191082026
SWMHSJ0272119031283,105,454675454,2025-10-01,Kaiser Permanente - Hawaii Permanente Medical Group 191017482
NUYBLO0272120436030,143,948820375,2024-09-24,Group Builders Inc 
WYODPI0272120646524,129,454211634,2025-05-27,Fun Factory Inc
UTYSES0272120559859,134,532166456,2025-10-16,Maui Divers Jewelry
WYODPI0272120646523,129,454211634,2025-05-27,Fun Factory Inc
HUKTJU0272120908515,102,829197202,2025-10-20,PrimeFlight Aviation Services 1
MRMJCG0272119842630,235,694700996,2025-10-09,Bank of Hawaii 256
